game_id,game_date,season,home_team,away_team,home_win,home_games_played_before,home_season_win_pct_before,home_season_avg_point_diff_before,home_season_avg_points_for_before,home_season_avg_points_against_before,home_last5_win_pct,home_last5_point_diff,home_last5_points_for,home_last5_points_against,home_last10_win_pct,home_last10_point_diff,home_last10_points_for,home_last10_points_against,home_rest_days,home_is_back_to_back,away_games_played_before,away_season_win_pct_before,away_season_avg_point_diff_before,away_season_avg_points_for_before,away_season_avg_points_against_before,away_last5_win_pct,away_last5_point_diff,away_last5_points_for,away_last5_points_against,away_last10_win_pct,away_last10_point_diff,away_last10_points_for,away_last10_points_against,away_rest_days,away_is_back_to_back,games_played_before_diff,season_win_pct_before_diff,season_avg_point_diff_before_diff,season_avg_points_for_before_diff,season_avg_points_against_before_diff,last5_win_pct_diff,last5_point_diff_diff,last5_points_for_diff,last5_points_against_diff,last10_win_pct_diff,last10_point_diff_diff,last10_points_for_diff,last10_points_against_diff,rest_days_diff,is_back_to_back_diff
0022200001,2022-10-18,2022-23,BOS,PHI,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200002,2022-10-18,2022-23,GSW,LAL,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200003,2022-10-19,2022-23,DET,ORL,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200004,2022-10-19,2022-23,IND,WAS,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200005,2022-10-19,2022-23,ATL,HOU,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200006,2022-10-19,2022-23,BKN,NOP,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200007,2022-10-19,2022-23,MIA,CHI,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200008,2022-10-19,2022-23,TOR,CLE,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200009,2022-10-19,2022-23,MEM,NYK,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200010,2022-10-19,2022-23,MIN,OKC,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200011,2022-10-19,2022-23,SAS,CHA,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200012,2022-10-19,2022-23,UTA,DEN,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200013,2022-10-19,2022-23,PHX,DAL,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200014,2022-10-19,2022-23,SAC,POR,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0
0022200015,2022-10-20,2022-23,PHI,MIL,0,1,0.0,-9.0,117.0,126.0,0.0,-9.0,117.0,126.0,0.0,-9.0,117.0,126.0,2.0,0,0,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,0
0022200016,2022-10-20,2022-23,LAL,LAC,0,1,0.0,-14.0,109.0,123.0,0.0,-14.0,109.0,123.0,0.0,-14.0,109.0,123.0,2.0,0,0,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,0
0022200017,2022-10-21,2022-23,CHA,NOP,0,1,1.0,27.0,129.0,102.0,1.0,27.0,129.0,102.0,1.0,27.0,129.0,102.0,2.0,0,1,1.0,22.0,130.0,108.0,1.0,22.0,130.0,108.0,1.0,22.0,130.0,108.0,2.0,0,0,0.0,5.0,-1.0,-6.0,0.0,5.0,-1.0,-6.0,0.0,5.0,-1.0,-6.0,0.0,0
0022200018,2022-10-21,2022-23,IND,SAS,0,1,0.0,-7.0,107.0,114.0,0.0,-7.0,107.0,114.0,0.0,-7.0,107.0,114.0,2.0,0,1,0.0,-27.0,102.0,129.0,0.0,-27.0,102.0,129.0,0.0,-27.0,102.0,129.0,2.0,0,0,0.0,20.0,5.0,-15.0,0.0,20.0,5.0,-15.0,0.0,20.0,5.0,-15.0,0.0,0
0022200019,2022-10-21,2022-23,WAS,CHI,1,1,1.0,7.0,114.0,107.0,1.0,7.0,114.0,107.0,1.0,7.0,114.0,107.0,2.0,0,1,1.0,8.0,116.0,108.0,1.0,8.0,116.0,108.0,1.0,8.0,116.0,108.0,2.0,0,0,0.0,-1.0,-2.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,0
0022200020,2022-10-21,2022-23,ATL,ORL,1,1,1.0,10.0,117.0,107.0,1.0,10.0,117.0,107.0,1.0,10.0,117.0,107.0,2.0,0,1,0.0,-4.0,109.0,113.0,0.0,-4.0,109.0,113.0,0.0,-4.0,109.0,113.0,2.0,0,0,1.0,14.0,8.0,-6.0,1.0,14.0,8.0,-6.0,1.0,14.0,8.0,-6.0,0.0,0
0022200021,2022-10-21,2022-23,BKN,TOR,1,1,0.0,-22.0,108.0,130.0,0.0,-22.0,108.0,130.0,0.0,-22.0,108.0,130.0,2.0,0,1,1.0,3.0,108.0,105.0,1.0,3.0,108.0,105.0,1.0,3.0,108.0,105.0,2.0,0,0,-1.0,-25.0,0.0,25.0,-1.0,-25.0,0.0,25.0,-1.0,-25.0,0.0,25.0,0.0,0
0022200022,2022-10-21,2022-23,MIA,BOS,0,1,0.0,-8.0,108.0,116.0,0.0,-8.0,108.0,116.0,0.0,-8.0,108.0,116.0,2.0,0,1,1.0,9.0,126.0,117.0,1.0,9.0,126.0,117.0,1.0,9.0,126.0,117.0,3.0,0,0,-1.0,-17.0,-18.0,-1.0,-1.0,-17.0,-18.0,-1.0,-1.0,-17.0,-18.0,-1.0,-1.0,0
0022200023,2022-10-21,2022-23,NYK,DET,1,1,0.0,-3.0,112.0,115.0,0.0,-3.0,112.0,115.0,0.0,-3.0,112.0,115.0,2.0,0,1,1.0,4.0,113.0,109.0,1.0,4.0,113.0,109.0,1.0,4.0,113.0,109.0,2.0,0,0,-1.0,-7.0,-1.0,6.0,-1.0,-7.0,-1.0,6.0,-1.0,-7.0,-1.0,6.0,0.0,0
0022200024,2022-10-21,2022-23,HOU,MEM,0,1,0.0,-10.0,107.0,117.0,0.0,-10.0,107.0,117.0,0.0,-10.0,107.0,117.0,2.0,0,1,1.0,3.0,115.0,112.0,1.0,3.0,115.0,112.0,1.0,3.0,115.0,112.0,2.0,0,0,-1.0,-13.0,-8.0,5.0,-1.0,-13.0,-8.0,5.0,-1.0,-13.0,-8.0,5.0,0.0,0
0022200025,2022-10-21,2022-23,MIN,UTA,0,1,1.0,7.0,115.0,108.0,1.0,7.0,115.0,108.0,1.0,7.0,115.0,108.0,2.0,0,1,1.0,21.0,123.0,102.0,1.0,21.0,123.0,102.0,1.0,21.0,123.0,102.0,2.0,0,0,0.0,-14.0,-8.0,6.0,0.0,-14.0,-8.0,6.0,0.0,-14.0,-8.0,6.0,0.0,0
0022200026,2022-10-21,2022-23,GSW,DEN,0,1,1.0,14.0,123.0,109.0,1.0,14.0,123.0,109.0,1.0,14.0,123.0,109.0,3.0,0,1,0.0,-21.0,102.0,123.0,0.0,-21.0,102.0,123.0,0.0,-21.0,102.0,123.0,2.0,0,0,1.0,35.0,21.0,-14.0,1.0,35.0,21.0,-14.0,1.0,35.0,21.0,-14.0,1.0,0
0022200027,2022-10-21,2022-23,POR,PHX,1,1,1.0,7.0,115.0,108.0,1.0,7.0,115.0,108.0,1.0,7.0,115.0,108.0,2.0,0,1,1.0,2.0,107.0,105.0,1.0,2.0,107.0,105.0,1.0,2.0,107.0,105.0,2.0,0,0,0.0,5.0,8.0,3.0,0.0,5.0,8.0,3.0,0.0,5.0,8.0,3.0,0.0,0
0022200028,2022-10-22,2022-23,PHI,SAS,0,2,0.0,-5.5,102.5,108.0,0.0,-5.5,102.5,108.0,0.0,-5.5,102.5,108.0,2.0,0,2,0.5,-12.0,119.5,131.5,0.5,-12.0,119.5,131.5,0.5,-12.0,119.5,131.5,1.0,1,0,-0.5,6.5,-17.0,-23.5,-0.5,6.5,-17.0,-23.5,-0.5,6.5,-17.0,-23.5,1.0,-1
0022200029,2022-10-22,2022-23,IND,DET,1,2,0.0,-5.0,120.5,125.5,0.0,-5.0,120.5,125.5,0.0,-5.0,120.5,125.5,1.0,1,2,0.5,-10.0,109.5,119.5,0.5,-10.0,109.5,119.5,0.5,-10.0,109.5,119.5,1.0,1,0,-0.5,5.0,11.0,6.0,-0.5,5.0,11.0,6.0,-0.5,5.0,11.0,6.0,0.0,0
0022200030,2022-10-22,2022-23,ORL,BOS,0,2,0.0,-7.0,103.5,110.5,0.0,-7.0,103.5,110.5,0.0,-7.0,103.5,110.5,1.0,1,2,1.0,8.0,118.5,110.5,1.0,8.0,118.5,110.5,1.0,8.0,118.5,110.5,1.0,1,0,-1.0,-15.0,-15.0,0.0,-1.0,-15.0,-15.0,0.0,-1.0,-15.0,-15.0,0.0,0.0,0
0022200031,2022-10-22,2022-23,MIA,TOR,1,2,0.0,-7.5,106.0,113.5,0.0,-7.5,106.0,113.5,0.0,-7.5,106.0,113.5,1.0,1,2,0.5,-0.5,106.5,107.0,0.5,-0.5,106.5,107.0,0.5,-0.5,106.5,107.0,1.0,1,0,-0.5,-7.0,-0.5,6.5,-0.5,-7.0,-0.5,6.5,-0.5,-7.0,-0.5,6.5,0.0,0
0022200032,2022-10-22,2022-23,CHI,CLE,0,2,0.5,3.0,108.0,105.0,0.5,3.0,108.0,105.0,0.5,3.0,108.0,105.0,1.0,1,1,0.0,-3.0,105.0,108.0,0.0,-3.0,105.0,108.0,0.0,-3.0,105.0,108.0,3.0,0,1,0.5,6.0,3.0,-3.0,0.5,6.0,3.0,-3.0,0.5,6.0,3.0,-3.0,-2.0,1
0022200033,2022-10-22,2022-23,MIL,HOU,1,1,1.0,2.0,90.0,88.0,1.0,2.0,90.0,88.0,1.0,2.0,90.0,88.0,2.0,0,2,0.0,-8.5,114.5,123.0,0.0,-8.5,114.5,123.0,0.0,-8.5,114.5,123.0,1.0,1,-1,1.0,10.5,-24.5,-35.0,1.0,10.5,-24.5,-35.0,1.0,10.5,-24.5,-35.0,1.0,-1
0022200034,2022-10-22,2022-23,DAL,MEM,1,1,0.0,-2.0,105.0,107.0,0.0,-2.0,105.0,107.0,0.0,-2.0,105.0,107.0,3.0,0,2,1.0,5.0,122.0,117.0,1.0,5.0,122.0,117.0,1.0,5.0,122.0,117.0,1.0,1,-1,-1.0,-7.0,-17.0,-10.0,-1.0,-7.0,-17.0,-10.0,-1.0,-7.0,-17.0,-10.0,2.0,-1
0022200035,2022-10-22,2022-23,DEN,OKC,1,2,0.5,-8.0,115.0,123.0,0.5,-8.0,115.0,123.0,0.5,-8.0,115.0,123.0,1.0,1,1,0.0,-7.0,108.0,115.0,0.0,-7.0,108.0,115.0,0.0,-7.0,108.0,115.0,3.0,0,1,0.5,-1.0,7.0,8.0,0.5,-1.0,7.0,8.0,0.5,-1.0,7.0,8.0,-2.0,1
0022200036,2022-10-22,2022-23,SAC,LAC,0,1,0.0,-7.0,108.0,115.0,0.0,-7.0,108.0,115.0,0.0,-7.0,108.0,115.0,3.0,0,1,1.0,6.0,103.0,97.0,1.0,6.0,103.0,97.0,1.0,6.0,103.0,97.0,2.0,0,0,-1.0,-13.0,5.0,18.0,-1.0,-13.0,5.0,18.0,-1.0,-13.0,5.0,18.0,1.0,0
0022200037,2022-10-23,2022-23,LAL,POR,0,2,0.0,-10.0,103.0,113.0,0.0,-10.0,103.0,113.0,0.0,-10.0,103.0,113.0,3.0,0,2,1.0,4.5,114.0,109.5,1.0,4.5,114.0,109.5,1.0,4.5,114.0,109.5,2.0,0,0,-1.0,-14.5,-11.0,3.5,-1.0,-14.5,-11.0,3.5,-1.0,-14.5,-11.0,3.5,1.0,0
0022200038,2022-10-23,2022-23,ATL,CHA,0,2,1.0,10.0,112.5,102.5,1.0,10.0,112.5,102.5,1.0,10.0,112.5,102.5,2.0,0,2,0.5,7.5,120.5,113.0,0.5,7.5,120.5,113.0,0.5,7.5,120.5,113.0,2.0,0,0,0.5,2.5,-8.0,-10.5,0.5,2.5,-8.0,-10.5,0.5,2.5,-8.0,-10.5,0.0,0
0022200039,2022-10-23,2022-23,CLE,WAS,1,2,0.5,14.5,116.5,102.0,0.5,14.5,116.5,102.0,0.5,14.5,116.5,102.0,1.0,1,2,1.0,4.5,108.0,103.5,1.0,4.5,108.0,103.5,1.0,4.5,108.0,103.5,2.0,0,0,-0.5,10.0,8.5,-1.5,-0.5,10.0,8.5,-1.5,-0.5,10.0,8.5,-1.5,-1.0,1
0022200040,2022-10-23,2022-23,NOP,UTA,0,2,1.0,17.0,127.0,110.0,1.0,17.0,127.0,110.0,1.0,17.0,127.0,110.0,2.0,0,2,1.0,13.5,127.5,114.0,1.0,13.5,127.5,114.0,1.0,13.5,127.5,114.0,2.0,0,0,0.0,3.5,-0.5,-4.0,0.0,3.5,-0.5,-4.0,0.0,3.5,-0.5,-4.0,0.0,0
0022200041,2022-10-23,2022-23,OKC,MIN,0,2,0.0,-6.0,112.5,118.5,0.0,-6.0,112.5,118.5,0.0,-6.0,112.5,118.5,1.0,1,2,0.5,0.5,120.5,120.0,0.5,0.5,120.5,120.0,0.5,0.5,120.5,120.0,2.0,0,0,-0.5,-6.5,-8.0,-1.5,-0.5,-6.5,-8.0,-1.5,-0.5,-6.5,-8.0,-1.5,-1.0,1
0022200042,2022-10-23,2022-23,GSW,SAC,1,2,0.5,4.5,123.0,118.5,0.5,4.5,123.0,118.5,0.5,4.5,123.0,118.5,2.0,0,2,0.0,-4.5,108.5,113.0,0.0,-4.5,108.5,113.0,0.0,-4.5,108.5,113.0,1.0,1,0,0.5,9.0,14.5,5.5,0.5,9.0,14.5,5.5,0.5,9.0,14.5,5.5,1.0,-1
0022200043,2022-10-23,2022-23,LAC,PHX,0,2,1.0,4.0,107.0,103.0,1.0,4.0,107.0,103.0,1.0,4.0,107.0,103.0,1.0,1,2,0.5,0.0,109.0,109.0,0.5,0.0,109.0,109.0,0.5,0.0,109.0,109.0,2.0,0,0,0.5,4.0,-2.0,-6.0,0.5,4.0,-2.0,-6.0,0.5,4.0,-2.0,-6.0,-1.0,1
0022200044,2022-10-24,2022-23,PHI,IND,1,3,0.0,-6.666666666666667,103.33333333333333,110.0,0.0,-6.666666666666667,103.33333333333333,110.0,0.0,-6.666666666666667,103.33333333333333,110.0,2.0,0,3,0.3333333333333333,-0.3333333333333333,121.66666666666667,122.0,0.3333333333333333,-0.3333333333333333,121.66666666666667,122.0,0.3333333333333333,-0.3333333333333333,121.66666666666667,122.0,2.0,0,0,-0.3333333333333333,-6.333333333333334,-18.333333333333343,-12.0,-0.3333333333333333,-6.333333333333334,-18.333333333333343,-12.0,-0.3333333333333333,-6.333333333333334,-18.333333333333343,-12.0,0.0,0
0022200045,2022-10-24,2022-23,MIA,TOR,0,3,0.3333333333333333,-4.0,108.0,112.0,0.3333333333333333,-4.0,108.0,112.0,0.3333333333333333,-4.0,108.0,112.0,2.0,0,3,0.3333333333333333,-1.3333333333333333,107.33333333333333,108.66666666666667,0.3333333333333333,-1.3333333333333333,107.33333333333333,108.66666666666667,0.3333333333333333,-1.3333333333333333,107.33333333333333,108.66666666666667,2.0,0,0,0.0,-2.666666666666667,0.6666666666666714,3.3333333333333286,0.0,-2.666666666666667,0.6666666666666714,3.3333333333333286,0.0,-2.666666666666667,0.6666666666666714,3.3333333333333286,0.0,0
0022200046,2022-10-24,2022-23,NYK,ORL,1,2,0.5,10.5,121.0,110.5,0.5,10.5,121.0,110.5,0.5,10.5,121.0,110.5,3.0,0,3,0.0,-6.666666666666667,109.0,115.66666666666667,0.0,-6.666666666666667,109.0,115.66666666666667,0.0,-6.666666666666667,109.0,115.66666666666667,2.0,0,-1,0.5,17.166666666666668,12.0,-5.166666666666671,0.5,17.166666666666668,12.0,-5.166666666666671,0.5,17.166666666666668,12.0,-5.166666666666671,1.0,0
0022200047,2022-10-24,2022-23,CHI,BOS,1,3,0.3333333333333333,-8.666666666666666,104.0,112.66666666666667,0.3333333333333333,-8.666666666666666,104.0,112.66666666666667,0.3333333333333333,-8.666666666666666,104.0,112.66666666666667,2.0,0,3,1.0,7.333333333333333,121.0,113.66666666666667,1.0,7.333333333333333,121.0,113.66666666666667,1.0,7.333333333333333,121.0,113.66666666666667,2.0,0,0,-0.6666666666666667,-16.0,-17.0,-1.0,-0.6666666666666667,-16.0,-17.0,-1.0,-0.6666666666666667,-16.0,-17.0,-1.0,0.0,0
